npBreed_Name,Registry_Groups,Origin_Country,Size_Category,Average_Height_cm,Average_Weight_kg,Life_Expectancy_Years,Temperament,Coat_Type,Color_Varieties,Coat_Length,Training_Difficulty,Activity_Level,Grooming_Needs,Good_With_Families,Good_With_Children,Shedding_Level,Health_Concerns,Unique_Traits
Abyssinian,TICA; CFA; FIFe; GCCF; WCF,Egypt,Small-Medium,20-25,3.6-5.4,9-15,Alert; Affectionate; Curious; Energetic; Intelligent; Playful,Short; Double; Fine; Ticked,Red; Blue; Fawn; Cream; Sorrel; Chocolate,Short,Moderate,Very High,Low,Yes,Yes,Moderate,Patellar Luxation; Kidney Disease; Peripheral Neuropathy,Regal posture; Ticked coat; High energy
American Bobtail,TICA; CFA; WCF,United States,Medium-Large,18-25,2.5-4,9-15,Affectionate; Clever; Curious; Devoted; Energetic; Friendly; Intelligent; Loyal,Short or Long; Medium; Double,All colors and patterns,Short or Long,Moderate,High,Moderate,Yes,Yes,Moderate-High,Spinal Issues; No Major Health Concerns,Signature bobtail; Wild appearance; Play fetch
American Curl,TICA; CFA; WCF,United States,Small-Medium,20-25,2.3-4.5,12-16,Affectionate; Alert; Curious; Even-tempered; Friendly; Intelligent; Loyal; Social,Short or Long; Fine; Silky,All colors and patterns,Short or Long,Moderate,Moderate,High,Yes,Yes,Moderate,Patellar Luxation; Ear Problems; No Major Health Concerns,Signature curled ears; Available in longhair and shorthair
American Shorthair,TICA; CFA; GCCF; WCF,United States,Medium,20-25,3.6-5.4,12-20,Affectionate; Alert; Curious; Easy-going; Friendly; Intelligent; Independent; Loyal; Sociable,Short; Smooth; Dense,All colors and patterns; Tabby; Solid,Short,Low,Moderate,Low,Yes,Yes,Moderate,Dental Disease; Hip Dysplasia; Hypertrophic Cardiomyopathy,Strong immune system; Long-lived breed; Low maintenance
American Wirehair,TICA; CFA,United States,Medium,20-25,3-5,12-16,Affectionate; Alert; Clever; Even-tempered; Friendly; Independent; Intelligent; Playful; Curious,Short; Wiry; Dense; Crimped,All colors and patterns,Short,Moderate,Moderate,Low,Yes,Yes,Moderate,Kidney Disease; Hypertrophic Cardiomyopathy; No Major Health Concerns,Wiry crimped coat; Natural mutation; Descended from American Shorthair
Australian Mist,TICA; WCF,Australia,Small-Medium,20-25,2.5-4.5,13-19,Affectionate; Alert; Friendly; Intelligent; Loyal; Playful; Quiet; Sensitive,Short; Fine; Glossy,Brown; Blue; Chocolate; Red; Cream; Gold; Caramel,Short,Low,Moderate,Low,Yes,Yes,Low,Hip Dysplasia; Progressive Retinal Atrophy; No Major Health Concerns,Spotted tabby coat; Quiet nature; Indoor breed
Balinese,TICA; CFA; WCF,United States (from Thailand origin),Small-Medium,20-25,2.3-4.5,9-15,Affectionate; Alert; Courageous; Curious; Demanding; Friendly; Intelligent; Loyal; Talkative; Vocal,Long; Silky; Fine; Single coat,Colorpoint; Seal; Chocolate; Blue; Lilac; Cream; Red,Long,Moderate,High,Very High,Yes,Yes,Moderate,Asthma; Progressive Retinal Atrophy; Strabismus; Hyperplasia of Nictitating Membrane,Long-haired Siamese variant; Very vocal; Seal point coloring
Bengal,TICA; CFA; GCCF; WCF,United States,Medium-Large,20-28,2.7-7,12-20,Active; Adventurous; Affectionate; Alert; Athletic; Courageous; Curious; Energetic; Friendly; Intelligent; Loyal; Playful; Sensitive,Short; Double; Dense; Spotted; Rosetted; Marbled,Brown; Gray; Snow; Silver; Charcoal; Sepia; Mink; Lynx Point; Caramel; Ginger; Melanistic,Short,Moderate,Very High,Moderate,Yes,Moderate,Moderate-High,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy; Hypertrophic Cardiomyopathy,Exotic spotted/rosetted coat; Hybrid with Asian Leopard Cat; High prey drive
Birman,TICA; CFA; FIFe; GCCF; WCF,Burma (Myanmar),Medium-Large,20-25,3.6-6,9-15,Affectionate; Alert; Calm; Courageous; Devoted; Even-tempered; Friendly; Gentle; Intelligent; Loyal; Playful; Quiet; Tolerant; Vocal,Semi-long; Silky; Fine; Single coat,Colorpoint; Seal; Chocolate; Blue; Lilac; Cream; Red; Tabby point,Semi-long,Moderate,Moderate,Very High,Yes,Yes,Moderate-High,Polycystic Kidney Disease; Hip Dysplasia; Hypertrophic Cardiomyopathy; Congenital Hypotrichosis,Distinctive white paws; Color-point pattern; Sacred temple cat origin
Bombay,TICA; FIFe; WCF (Preliminary),United States,Medium,20-25,2.7-5.4,12-20,Affectionate; Alert; Demanding; Friendly; Intelligent; Loyal; Outgoing; People-oriented; Playful; Talkative,Short; Glossy; Dense; Fine,Black; Sable,Short,Low,Moderate,Low,Yes,Yes,Moderate,No Major Health Concerns; Rarely affected by genetic diseases,All-black coat; Glossy fur; Dog-like personality; Copper eyes
