Breed_Name,FCI_Group,AKC_Group,Origin_Country,Size_Category,Average_Height_cm,Average_Weight_kg,Life_Expectancy_Years,Temperament,Primary_Purpose,Coat_Type,Color_Varieties,Training_Difficulty,Exercise_Needs,Grooming_Needs,Good_With_Families,Good_With_Children,Shedding_Level,Health_Concerns
Affenpinscher,9 - Companion and Toy Dogs,Toy,Germany,Toy,25-30,3-6,12-14,Confident; Curious; Playful; Stubborn,Companion,Wiry; Rough,Black; Black and Tan; Red; Gray,High,Moderate,High,Yes,Yes,High,Patellar Luxation; Heart Issues
Afghan Hound,10 - Sighthounds,Hound,Afghanistan,Large,63-74,20-27,12-14,Aloof; Dignified; Independent; Sensitive,Hunting; Companion,Long; Fine; Silky,Cream; Red; Black and Tan; Blue; Brindle,High,High,Very High,Yes,Yes,High,Hip Dysplasia; Hypothyroidism; Cancer
Airedale Terrier,3 - Terriers,Terrier,Great Britain,Large,56-61,20-29,11-14,Confident; Courageous; Friendly; Outgoing,Hunting; Family,Wiry; Double,Black; Tan; Grizzle,Moderate,High,High,Yes,Yes,Moderate,Hip Dysplasia; Bloat; Hypothyroidism
Akita,5 - Spitz and Primitive Types,Working,Japan,Large,61-71,34-59,10-12,Alert; Confident; Dignified; Loyal,Guardian; Companion,Double; Thick,Red; Fawn; White; Brindle; Pied,High,Moderate,High,Moderate,Moderate,High,Hip Dysplasia; Bloat; Thyroid Issues
Alaskan Malamute,5 - Spitz and Primitive Types,Working,United States,Giant,58-66,34-38,10-12,Affectionate; Courageous; Friendly; Loyal,Sled Pulling; Family,Double; Thick,Gray; Black; Red; Sable,Moderate,Very High,High,Yes,Yes,Very High,Hip Dysplasia; Bloat; Hypothyroidism
American Bulldog,2 - Pinschers and Schnauzers; Molossoid Breeds; Swiss Mountain and Cattle Dogs,Non-Sporting,United States,Large,50-71,27-54,10-13,Confident; Loyal; Determined; Reliable,Guardian; Family,Short; Smooth,Fawn; White; Brindle,Moderate,Moderate,Low,Yes,Yes,Moderate,Hip Dysplasia; Cherry Eye; Demodectic Mange
American English Coonhound,6 - Scenthounds and Related Breeds,Hound,United States,Large,53-66,20-30,11-12,Determined; Happy; Loyal; Independent,Hunting; Scent Trailing,Short; Dense,Red; Tricolor; Black and Tan,Moderate,High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Bloat
American Eskimo Dog,5 - Spitz and Primitive Types,Non-Sporting,United States,Small-Large,33-48,5-16,12-15,Alert; Friendly; Playful; Keen,Companion; Watchdog,Double; Thick; White,White; Cream,High,High,Very High,Yes,Yes,Very High,Hip Dysplasia; Patellar Luxation; Progressive Retinal Atrophy
American Foxhound,6 - Scenthounds and Related Breeds,Hound,United States,Medium,53-64,25-30,11-13,Even-Tempered; Friendly; Lively; Passionate,Hunting; Scent Trailing,Short; Dense,Combination of colors,Moderate,Very High,Low,Yes,Yes,Moderate,Hip Dysplasia; Ear Infections; Hemolytic Anemia
American Staffordshire Terrier,3 - Terriers,Terrier,United States,Medium,43-48,18-27,12-16,Courageous; Confident; Loyal; Intelligent,Guardian; Companion,Short; Stiff,Various colors,Moderate,High,Low,Yes,Moderate,Moderate,Hip Dysplasia; Heart Disease; Bloat
