Pet_Type,Category,Item_Name,Type,Frequency,Age_Start,Legal_Status,Verification_Method,Grace_Period_Days,Penalty_Description
Dog,Core Vaccines,Rabies Vaccine,Vaccine,Every 1 or 3 years,12 weeks,Mandatory - Legal requirement in most jurisdictions,Vaccination certificate,0,Fines; quarantine; potential euthanasia if dog bites
Dog,Core Vaccines,DHPP (Distemper/Parvovirus),Vaccine,Every 1 or 3 years (after initial series),6-8 weeks,Mandatory - Highly recommended; core for all dogs,Vaccination certificate,30,Risk of disease outbreak; death from parvovirus/distemper
Dog,Recommended Vaccines,Bordetella (Kennel Cough),Vaccine,Annually or every 6 months,6-8 weeks,Non-Core - Recommended for boarding/daycare,Vaccination certificate,7,Boarding facilities refuse entry; exposure risk at group events
Dog,Recommended Vaccines,Leptospirosis Vaccine,Vaccine,Annually,8-12 weeks,Non-Core - Recommended in endemic areas,Vaccination certificate,30,Increased risk of leptospirosis exposure from wildlife
Dog,Recommended Vaccines,Lyme Disease Vaccine,Vaccine,Annually,12 weeks,Non-Core - Recommended in tick-endemic regions,Vaccination certificate,30,Increased risk of Lyme disease if in endemic areas
Dog,Parasite Prevention,Heartworm Prevention,Medication,Monthly or every 3 months,6-8 weeks,Mandatory in many regions; strongly recommended nationwide,Prescription records; heartworm test records,14,Risk of fatal heartworm disease; emergency treatment expensive
Dog,Parasite Prevention,Flea and Tick Prevention,Medication,Monthly,8 weeks,Recommended - For outdoor dogs; mandatory for boarding,Prescription records; physical inspection,7,Risk of parasite-borne diseases; boarding refusal
Dog,Parasite Prevention,Intestinal Deworming,Medication,Every 2 weeks until 12 weeks; then quarterly,2 weeks,Mandatory - All puppies require deworming,Prescription records; stool analysis,7,Risk of worm-related diseases; zoonotic disease transmission
Dog,Puppies (Under 6 months),Puppy Vaccination Series,Vaccine,Every 3-4 weeks until 16 weeks,6-8 weeks,Mandatory - Core vaccination series,Vaccination certificate with multiple dates,7,Lack of immunity; risk of serious disease
Dog,Adults (1-7 years),Annual Booster Vaccines,Vaccine,Annually or every 3 years,1 year,Mandatory - Booster maintenance,Vaccination certificate,30,Immunity lapse; disease exposure risk
Dog,Seniors (Over 7 years),Senior Annual Health Check,Health Check,Annually,7 years,Recommended - For disease early detection,Veterinary records; blood work results,30,Late detection of age-related diseases; higher treatment costs
Cat,Core Vaccines,Rabies Vaccine,Vaccine,Every 1 or 3 years,12 weeks,Mandatory - Legal requirement in most jurisdictions,Vaccination certificate,0,Fines; quarantine; potential euthanasia if cat bites
Cat,Core Vaccines,FVRCP (Feline Viral Rhinotracheitis/Calicivirus/Panleukopenia),Vaccine,Every 1 or 3 years (after initial series),6-8 weeks,Mandatory - Core for all cats,Vaccination certificate,30,Risk of fatal panleukopenia; upper respiratory infections
Cat,Recommended Vaccines,Feline Leukemia Vaccine,Vaccine,Annual or every 3 years,8 weeks,Non-Core - Recommended for outdoor cats,Vaccination certificate,30,Increased risk of FeLV if outdoor; fatal disease
Cat,Recommended Vaccines,Feline Immunodeficiency Vaccine (FIV),Vaccine,Annual,8 weeks,Non-Core - Controversial; optional for high-risk cats,Vaccination certificate; FIV antibody test,30,Increased FIV exposure risk in high-risk outdoor cats
Cat,Parasite Prevention,Flea and Tick Prevention,Medication,Monthly,8 weeks,Recommended - For outdoor cats; mandatory for boarding,Prescription records; physical inspection,7,Risk of flea-borne anemia; boarding refusal
Cat,Parasite Prevention,Intestinal Deworming,Medication,Every 2 weeks until 12 weeks; then 2-4 times yearly,2 weeks,Mandatory - All kittens require deworming,Prescription records; stool analysis,14,Risk of parasitic infections; zoonotic disease transmission
Rabbit,Core Vaccines,Myxomatosis Vaccine,Vaccine,Annually,4-6 weeks,Mandatory in endemic areas - Prevents fatal viral disease,Vaccination certificate,0,Fatal disease; high mortality rate; contagious to other rabbits
Rabbit,Core Vaccines,Rabbit Hemorrhagic Disease (RHD) Vaccine,Vaccine,Annually,4-6 weeks,Mandatory - Prevents fatal hemorrhagic disease,Vaccination certificate,0,Fatal disease; near 100% mortality; no treatment
Ferret,Core Vaccines,Rabies Vaccine,Vaccine,Annually,12 weeks,Mandatory - Legal requirement in many jurisdictions,Vaccination certificate,0,Fines; quarantine; potential euthanasia if ferret bites
Ferret,Core Vaccines,Canine Distemper Vaccine,Vaccine,Every 1-2 years (after initial series),8-12 weeks,Mandatory - Fatal disease in ferrets,Vaccination certificate,0,Fatal disease; 100% mortality if contracted
