Brand_Name,Generic_Name,Type,Pet_Type,Disease_Treatment,Dosage,Dosage_Unit,Administration_Route,Duration_Frequency,Description,Manufacturer,Common_Side_Effects
Baytril,Enrofloxacin,Antibiotic - Fluoroquinolone,Dogs and Cats,Bacterial infections (skin; urinary; respiratory),5-20,mg/kg/day,Oral tablet,Once daily,Broad-spectrum antibiotic for dermal; urinary and respiratory infections. Available in multiple tablet sizes (22.7mg; 68mg; 136mg) with flexible dosing,Elanco,Gastrointestinal upset; photosensitivity; seizures (rare)
Clavamox,Amoxicillin + Clavulanic Acid,Antibiotic - Beta-Lactam,Dogs and Cats,Bacterial infections (skin; soft tissue),13.75,mg/kg,Oral tablet/chewable/liquid,Every 12 hours,Combination antibiotic effective against Staphylococci and other bacteria. Most common dosage 6.875mg per pound every 12 hours. Available in multiple formulations,Zoetis,Gastrointestinal upset; allergic reactions; nausea
Amoxicillin,Amoxicillin,Antibiotic - Aminopenicillin,Dogs and Cats,Bacterial infections; urinary tract infections,5-12,mg/kg,Oral,Every 12 hours,Broader spectrum penicillin derivative. More resistant to stomach acids than penicillin. Typical dosage 5-12mg/lb twice daily. Use for 5-7 days or 48 hours after symptoms resolve,Multiple brands,Gastrointestinal upset; allergic reactions; diarrhea
Cephalexin,Cephalexin,Antibiotic - First-Generation Cephalosporin,Dogs and Cats,Bacterial infections (skin; respiratory; wound),15-30,mg/kg,Oral capsule/tablet,Every 6-8 hours,First-generation cephalosporin for superficial/deep pyoderma and soft tissue infections. Effective against Gram-positive bacteria,Multiple brands,Gastrointestinal upset; allergic reactions; potential cross-reactivity with penicillin
Doxycycline,Doxycycline,Antibiotic - Tetracycline,Dogs and Cats,Respiratory infections; tick-borne disease (Lyme); Ehrlichia,5-10,mg/kg,Oral tablet/capsule,Every 12 hours,Essential for upper/lower respiratory infections and obligate intracellular bacteria treatment. May cause photosensitivity and esophageal ulceration if not properly swallowed,Multiple brands,Photosensitivity; gastrointestinal upset; esophageal ulceration
Clindamycin,Clindamycin,Antibiotic - Lincosamide,Dogs and Cats,Bacterial infections (skin; soft tissue; anaerobic),5-15,mg/kg,Oral capsule/IV injection,Every 8-12 hours,Recommended first-line for canine/feline pyoderma in many countries. Also for anaerobic infections. Injectable forms available for life-threatening infections,Multiple brands,Gastrointestinal upset; pseudomembranous colitis; esophageal ulceration
Terramycin,Oxytetracycline,Antibiotic - Tetracycline,Dogs and Cats,Respiratory; urinary tract; skin infections,10-20,mg/kg,Oral tablet,Every 8-12 hours,Effective against wide range of bacteria. Used for respiratory infections; UTIs; and certain skin conditions. Available in tablet form,Multiple brands,Gastrointestinal upset; photosensitivity; esophageal irritation
Metronidazole,Metronidazole,Antibiotic - Nitroimidazole,Dogs and Cats,Anaerobic bacterial infections; protozoal infections; Giardia,10-25,mg/kg,Oral tablet/liquid,Every 8-12 hours,For anaerobic bacteria and protozoal enteric infections. Also used for Giardia treatment. Bitter taste requires careful administration in cats,Multiple brands,Gastrointestinal upset; metallic taste; neurological effects (at high doses)
Rimadyl,Carprofen,NSAID - COX-2 Inhibitor,Dogs,Osteoarthritis; post-surgical pain; inflammation,2,mg/kg,Oral tablet/chewable,Every 12 hours,Non-steroidal anti-inflammatory approved for canine use. First-line arthritis medication. Available as tablets or beef-flavored chewables,Zoetis,Gastrointestinal upset; gastric ulceration; reduced appetite; lethargy
Metacam,Meloxicam,NSAID - COX-2 Inhibitor,Dogs and Cats,Osteoarthritis; soft-tissue injury; post-surgical pain,0.1,mg/kg,Oral liquid/tablet/injectable,Once daily (maintenance),NSAID for osteoarthritis and orthopedic surgery pain. Oral liquid formulation allows precise dosing for small breeds. Long-acting; convenient once-daily dosing,Zoetis,Gastrointestinal upset; reduced appetite; diarrhea; kidney function concerns
