Brand_Name,Type,Protects_Against,Generic_Name,Pet_Type,Duration,Description,Vaccine_Category,Administration_Route,Core_NonCore
Nobivac Rabies,Vaccine,Rabies,Rabies Vaccine,Dog,1 year,Core vaccine for rabies protection; requires annual booster after initial series and 1-year booster,Core,Subcutaneous Injection,Core
Nobivac Rabies,Vaccine,Rabies,Rabies Vaccine,Dog,3 years,Core vaccine for rabies protection; provides 3-year immunity after initial 1-year booster,Core,Subcutaneous Injection,Core
Nobivac Rabies,Vaccine,Rabies,Rabies Vaccine,Cat,1 year,Core vaccine for rabies protection in cats; annual booster required,Core,Subcutaneous Injection,Core
Nobivac Rabies,Vaccine,Rabies,Rabies Vaccine,Cat,3 years,Core vaccine for rabies protection in cats; 3-year immunity after initial booster,Core,Subcutaneous Injection,Core
IMRAB 1 TF,Vaccine,Rabies,Rabies Vaccine,Dog,1 year,Rabies vaccine with 1-year duration; required annual revaccination,Core,Subcutaneous Injection,Core
IMRAB 1 TF,Vaccine,Rabies,Rabies Vaccine,Cat,1 year,Rabies vaccine for cats with 1-year duration; annual booster needed,Core,Subcutaneous Injection,Core
IMRAB 3 TF,Vaccine,Rabies,Rabies Vaccine,Dog,3 years,Rabies vaccine providing 3-year immunity after 1-year booster,Core,Subcutaneous Injection,Core
IMRAB 3 TF,Vaccine,Rabies,Rabies Vaccine,Cat,3 years,Rabies vaccine for cats with 3-year duration option,Core,Subcutaneous Injection,Core
Defensor,Vaccine,Rabies,Rabies Vaccine,Dog,1 year,Annual rabies vaccine for dogs; legal requirement in many jurisdictions,Core,Subcutaneous Injection,Core
Defensor,Vaccine,Rabies,Rabies Vaccine,Dog,3 years,Rabies vaccine providing 3-year protection after initial series,Core,Subcutaneous Injection,Core
PureVax Rabies,Vaccine,Rabies,Rabies Vaccine,Cat,1 year,Non-adjuvanted rabies vaccine; reduces injection site sarcoma risk in cats; annual booster,Core,Subcutaneous Injection,Core
PureVax Rabies,Vaccine,Rabies,Rabies Vaccine,Cat,3 years,Non-adjuvanted rabies vaccine with 3-year duration for cats,Core,Subcutaneous Injection,Core
Nobivac Canine 1-DAPPv,Vaccine,Distemper/Parvovirus/Adenovirus/Parainfluenza,DHPP Vaccine,Dog,1 year,Core vaccine protecting against canine distemper; annual revaccination protocol recommended,Core,Subcutaneous Injection,Core
Nobivac Canine 1-DAPPv,Vaccine,Distemper/Parvovirus/Adenovirus/Parainfluenza,DHPP Vaccine,Dog,3 years,Core vaccine with extended 3-year duration after initial booster,Core,Subcutaneous Injection,Core
Vanguard Plus 5,Vaccine,Distemper/Parvovirus/Adenovirus/Parainfluenza/Coronavirus,DA2PPv+CV Vaccine,Dog,3 years,Core vaccine with coronavirus protection; 3-year immunity protocol,Core,Subcutaneous Injection,Core
Vanguard Plus DHPPi/L4R,Vaccine,Distemper/Adenovirus/Parainfluenza/Parvovirus/Leptospirosis/Rabies,DHPPi/L4R+Rabies Vaccine,Dog,3 years,Combination vaccine protecting against core vaccines plus leptospirosis and rabies; 3-year duration,Core,Subcutaneous Injection,Core
Duramune Max 5-CvK/4L,Vaccine,Distemper/Adenovirus/Parainfluenza/Parvovirus/Coronavirus/Leptospirosis,DA2PPv+CV+L Vaccine,Dog,1 year,Annual canine vaccine with coronavirus and leptospirosis protection; requires annual revaccination,Core,Subcutaneous Injection,Core
Nobivac Feline,Vaccine,Feline Viral Rhinotracheitis/Calicivirus/Panleukopenia,FVRCP Vaccine,Cat,1 year,Core vaccine protecting against FHV-1; calicivirus and panleukopenia; annual protocol,Core,Subcutaneous Injection,Core
Nobivac Feline,Vaccine,Feline Viral Rhinotracheitis/Calicivirus/Panleukopenia,FVRCP Vaccine,Cat,3 years,Core vaccine with 3-year immunity after initial booster series,Core,Subcutaneous Injection,Core
Felocell 3,Vaccine,Feline Viral Rhinotracheitis/Calicivirus/Panleukopenia,FVRCP Vaccine,Cat,3 years,Core feline vaccine; 3-year protection after initial series; may cause mild fever,Core,Subcutaneous Injection,Core
Felocell 4,Vaccine,Feline Viral Rhinotracheitis/Calicivirus/Panleukopenia/Chlamydia,FVRCP-C Vaccine,Cat,3 years,Core vaccine plus chlamydia protection for cats with respiratory risk; 3-year duration,Core,Subcutaneous Injection,Core
PureVax Feline 3,Vaccine,Feline Viral Rhinotracheitis/Calicivirus/Panleukopenia,FVRCP Vaccine,Cat,1 year,Non-adjuvanted vaccine; reduces injection site reactions; annual protocol then 3-year boosters,Core,Subcutaneous Injection,Core
PureVax Feline 3,Vaccine,Feline Viral Rhinotracheitis/Calicivirus/Panleukopenia,FVRCP Vaccine,Cat,3 years,Non-adjuvanted vaccine with 3-year duration after initial booster,Core,Subcutaneous Injection,Core
PureVax Feline 4,Vaccine,Feline Viral Rhinotracheitis/Calicivirus/Panleukopenia/Chlamydia,FVRCP-C Vaccine,Cat,1 year,Non-adjuvanted combination vaccine; annual protocol then 3-year boosters,Core,Subcutaneous Injection,Core
PureVax Feline 4,Vaccine,Feline Viral Rhinotracheitis/Calicivirus/Panleukopenia/Chlamydia,FVRCP-C Vaccine,Cat,3 years,Non-adjuvanted vaccine with chlamydia protection; 3-year duration option,Core,Subcutaneous Injection,Core
Nobivac Lepto 4,Vaccine,Leptospirosis (4 serovars: canicola;icterohaemorrhagiae;grippotyphosa;pomona),Leptospira Vaccine,Dog,1 year,Non-core vaccine protecting against 4 leptospirosis serovars; annual revaccination in endemic areas,Non-Core,Subcutaneous Injection,Non-Core
Duramune 4L,Vaccine,Leptospirosis (4 serovars),Leptospira Vaccine,Dog,1 year,Non-core leptospirosis vaccine; annual booster required,Non-Core,Subcutaneous Injection,Non-Core
Nobivac KC,Vaccine,Bordetella bronchiseptica/Parainfluenza (Kennel Cough),Bordetella Vaccine,Dog,1 year,Non-core vaccine recommended for boarding/daycare dogs; protects against infectious tracheobronchitis,Non-Core,Intranasal or Subcutaneous Injection,Non-Core
Nobivac KC,Vaccine,Bordetella bronchiseptica/Parainfluenza (Kennel Cough),Bordetella Vaccine,Dog,6 months,Intranasal form with rapid onset; 6-month protection; recommended pre-boarding,Non-Core,Intranasal,Non-Core
Nobivac Canine Oral Bb,Vaccine,Bordetella bronchiseptica (Kennel Cough),Bordetella Vaccine,Dog,12 months,Oral bordetella vaccine; non-invasive administration; annual revaccination,Non-Core,Oral,Non-Core
Recombitek Bordetella,Vaccine,Bordetella bronchiseptica (Kennel Cough),Bordetella Vaccine,Dog,1 year,Non-core injectable vaccine for kennel cough; recommended for high-risk dogs,Non-Core,Subcutaneous Injection,Non-Core
Nobivac Lyme,Vaccine,Lyme Disease (Borrelia burgdorferi),Borrelia Vaccine,Dog,1 year,Non-core vaccine for Lyme disease; recommended in tick-endemic regions; annual booster,Non-Core,Subcutaneous Injection,Non-Core
Recombitek Lyme,Vaccine,Lyme Disease (Borrelia burgdorferi),Borrelia Vaccine,Dog,1 year,Recombinant Lyme disease vaccine; requires initial 2-dose series 2-3 weeks apart,Non-Core,Subcutaneous Injection,Non-Core
Nobivac FeLV,Vaccine,Feline Leukemia Virus,FeLV Vaccine,Cat,1 year,Non-core vaccine for outdoor and at-risk cats; annual booster in first year; then based on risk assessment,Non-Core,Subcutaneous Injection,Non-Core
PureVax FeLV,Vaccine,Feline Leukemia Virus,FeLV Vaccine,Cat,1 year,Non-adjuvanted FeLV vaccine; reduces injection site reactions; annual protocol then every 3 years based on risk,Non-Core,Subcutaneous Injection,Non-Core
PureVax FeLV,Vaccine,Feline Leukemia Virus,FeLV Vaccine,Cat,3 years,Non-adjuvanted FeLV vaccine with extended duration for at-risk cats,Non-Core,Subcutaneous Injection,Non-Core
Leukocell 2,Vaccine,Feline Leukemia Virus,FeLV Vaccine,Cat,1 year,Injectable FeLV vaccine; requires annual revaccination for optimal protection,Non-Core,Subcutaneous Injection,Non-Core
